text,label,label_id
"I've got a problem - I purchased an item maybe a week or two ago, but to the payment came back to my account! I've already got what I ordered, so why are the payment funds showing up in my account?",reverted_card_payment?,28
What information am I going to have to have in order to do a transfer with my card?,topping_up_by_card,59
How do I dispute a direct debit on my account?,direct_debit_payment_not_recognised,33
I no longer have my passcode.,passcode_forgotten,7
My transfer has been declined and I know it should have went through.,declined_transfer,4
The amount of time that transfers usually take from a UK account is what?I just completed a transfer and it is not showing up at all. I'm wondering at this point if everything is actually okay.,balance_not_updated_after_bank_transfer,3
Why was a transfer to an account not allowed?,beneficiary_not_allowed,63
I paid for something in foreign currency but noticed the exchange rate is incorrect.,card_payment_wrong_exchange_rate,41
Was there a number to track that I could get?,card_arrival,36
What ATMs can I use my card at?,atm_support,64
"There seems to be an additional charge of £1 on my statement, what is the reason for this?",extra_charge_on_statement,62
I'm trying to activate the auto-top up function. Where is it?,automatic_top_up,58
Cancel a transaction,cancel_transfer,65
The ATM keeps declining my Transaction . I tried two different ATMs already can you please check if everything is okay with my account?,declined_cash_withdrawal,2
"I attempted to top-up with my card this morning, but the transaction was unsuccessful. I received the card two days ago and was successful using it previously. Could you please help me?",top_up_failed,54
Do you need to know my first and last name?,why_verify_identity,43
How do I get a physical card?,order_physical_card,35
I cannot find my refund on my statement.,Refund_not_showing_up,66
Where can I use my Mastercard?,card_acceptance,67
Do you offer any discounts for someone who exchanges currencies frequently?,exchange_charge,13
I did not charge my account for that transaction.  That's an error.,card_payment_not_recognised,25
Why didn't my transfer complete?,failed_transfer,17
What countries have access to this service.,country_support,48
Where can my card be delivered?,order_physical_card,35
I received my salary in GBP. How do I change this to my currency?,receiving_money,68
I would rather the Mastercard.,visa_or_mastercard,69
How do I deposit cash?,top_up_by_cash_or_cheque,23
What ATMs can I withdraw money from?,atm_support,64
How long until my card will get here?,card_delivery_estimate,12
Why didn't my balance update after my cash or checque deposit?,balance_not_updated_after_cheque_or_cash_deposit,53
What is the top-up limit for my card?,top_up_limits,5
How can I check the source of funds?,verify_source_of_funds,60
Will the system automatically top up itself?,automatic_top_up,58
Why isn't my balance updating?  I did a bank transfer and it isn't current.,balance_not_updated_after_bank_transfer,3
i bought the wrong size and would like a refund,request_refund,9
Why do you charge for payments? Why aren't your charges clearly laid out in the agreement?,card_payment_fee_charged,6
Can you tell me more about limits to disposable virtual cards?,disposable_card_limits,22
Why are you charging me fees for using my card?,card_payment_fee_charged,6
As for limits are top ups included?,top_up_limits,5
How can my boss pay me directly to the card?,receiving_money,68
How can I tell where the money came from?,verify_source_of_funds,60
Can I use this app to exchange currencies?,exchange_via_app,21
Why am I being charged for withdrawing cash but haven't in the past?,cash_withdrawal_charge,70
The top-up is pending.,pending_top_up,71
I don't know what's going on but all of my transfers keep getting declined. I have checked over the recipient details twice. These details are all correct.,declined_transfer,4
what is the process for setting up a pin,get_physical_card,47
"There's a problem - I bought something about a week or two ago but just today the payment somehow came back into my account! I already received the item though, what's going on here?",reverted_card_payment?,28
Is there a limit to a disposable virtual card?,disposable_card_limits,22
What countries do you support?,country_support,48
Why can't I see my PIN?,get_physical_card,47
Your service is bad.  Close my account.,terminate_account,39
"Hi, Today i have tried to make payment by my new card, but payment got declined many times. I am very disappointed, please look into this.",declined_card_payment,8
"If I wanted to change my PIN, how would I do that?",change_pin,15
"I would like to delete my account now, please.",terminate_account,39
"Please help me get a new card, I reside in the United States.",country_support,48
I feel as though I have been over charged for the exchange rate on my payment on last Saturday.,card_payment_wrong_exchange_rate,41
"The disposable cards, what are they for?",get_disposable_virtual_card,37
"I've been waiting for 3 days, why is my withdrawal still pending?",pending_cash_withdrawal,1
I wasn't able to withdraw money at an ATM,declined_cash_withdrawal,2
How can I top up with Google Pay?,apple_pay_or_google_pay,61
Where can I exchange my money for EUR?,fiat_currency_support,24
How do your exchange rates work?,exchange_rate,29
Where is the PIN number found?,get_physical_card,47
Is it on purpose that my payment has been returned to my account?,reverted_card_payment?,28
"I bought something and received it, but the payment went back to my account. Is the seller okay?",reverted_card_payment?,28
Can you tell me why I wasn't able to complete my transfer?,failed_transfer,17
I bought some things in the morning but the payment shows as pending,pending_card_payment,55
Why was I charged for withdrawing cash?,cash_withdrawal_charge,70
What are the fees of using an international card to add money?,top_up_by_card_charge,16
"Transfers can take up to one day to process before departing for the beneficiary accounts. Please confirm that you've entered your account details correctly. SEPA transfers can take up to two working days, while SWIFT transfers can take up to five working days.",pending_transfer,42
Why haven't I received a refund yet?,Refund_not_showing_up,66
Can my friend send me money?,receiving_money,68
I am on vacation in Spain and need to change my pin.,change_pin,15
"When I travel, can it automatically add money in certain intervals?",automatic_top_up,58
Tell me how I can exchange between different currency.,exchange_via_app,21
Is there a discount for frequently exchanging currencies?,exchange_charge,13
"lost phone, can i still access account?",lost_or_stolen_phone,44
I would like to track the card you sent to me.,card_arrival,36
How does it work when I transfer money into my account?,transfer_into_account,52
Why was there a fee for paying by card?,card_payment_fee_charged,6
Will I be charged if I use European bank card for top up?,top_up_by_card_charge,16
The ATM didnt return my card!,card_swallowed,57
"I was abroad and needed some cash, but I think the wrong exchange rate was applied to the transaction.",wrong_exchange_rate_for_cash_withdrawal,30
Can someone assist me with the details explaining which fiat currencies that you support?,fiat_currency_support,24
how old do i need to be to get an account for myself,age_limit,72
Why was I charged a fee for a transfer?,transfer_fee_charged,32
Will there be any extra fees if I exchange currencies?,exchange_charge,13
I need to know which flat currencies are supported by you.,fiat_currency_support,24
Is currency exchange possible?,exchange_via_app,21
What do I do when I get close to the expiration date of my card?,card_about_to_expire,73
Is it free to transfer money or is there a fee?,transfer_fee_charged,32
Why is there an extra pound charge that is pending?,extra_charge_on_statement,62
Why is my card payment showing as pending?,pending_card_payment,55
Can I use this app for any currency?,supported_cards_and_currencies,26
What is the maximum I can transfer before I incur fees?,transfer_fee_charged,32
What are the countries that you operate in?,country_support,48
What is taking so long with my top up?,pending_top_up,71
How long does it take to verify a cash withdraw?,pending_cash_withdrawal,1
Mastercard is my preferred company.,visa_or_mastercard,69
"May monthly payment to Apple has been declined but I don't know why, they are going to re-try the payment and it must go through, can you tell me what is going on please?",declined_card_payment,8
What are the restrictions on the virtual cards?,disposable_card_limits,22
How can I find out why my transfer didn't go through?,failed_transfer,17
There are funds in my app that I did not receive.,cash_withdrawal_not_recognised,46
Can I use a different bank ATM than my own?,atm_support,64
I'm getting concerned here.  I sent a friend some money and she isn't seeing it.  What's going on?,transfer_not_received_by_recipient,0
What is the most amount of disposable cards allowable?,disposable_card_limits,22
Why was I charged for cash withdrawal?,cash_withdrawal_charge,70
My card payment had the wrong exchange rate,card_payment_wrong_exchange_rate,41
I have a direct debit charge that I do not recognize,direct_debit_payment_not_recognised,33
"My new card just arrived, how can I activate it?",activate_my_card,74
Will I need a new card or can I put my old card back into the app?,card_linking,50
"I no longer want this account, what should I do?",terminate_account,39
Which cards and currencies are supported?,supported_cards_and_currencies,26
"My app says I made a withdrawal, but I didn't.",cash_withdrawal_not_recognised,46
Why did I not get a virtual card yet?,getting_virtual_card,10
I made a transaction and it is taking a very long time to go through.,transfer_not_received_by_recipient,0
I need my payment in another currency,receiving_money,68
Can you please explain why I was charged an extra fee for my transfer?,transfer_fee_charged,32
My statement has not shown my refund.,Refund_not_showing_up,66
My card payment did not work.,declined_card_payment,8
I am trying to revert a transcation I did this morning,cancel_transfer,65
Why was I charged a fee for withdrawing money off my card?,cash_withdrawal_charge,70
I transferred money to my account but it is not showing.,balance_not_updated_after_bank_transfer,3
I have to verify the source of my funds,verify_source_of_funds,60
My Google pay top up isn't working.,apple_pay_or_google_pay,61
I would like to know any restrictions for the disposable cards.,disposable_card_limits,22
Where can i find my top-up verification code?,verify_top_up,14
What do you do to transfer money to my account?,transfer_into_account,52
"Please delete my account, this company is not working for me!",terminate_account,39
"Hello, I am buying a flat and need the inital payment for the mortgage to go through. It keeps showing up as error, what is going on? Can you please help me make this transfer?",failed_transfer,17
Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying.,reverted_card_payment?,28
How long does it take to get money from Europe?,transfer_timing,19
My salary comes in GBP can I change my options somewhere?,receiving_money,68
Why was my top-up declined?,top_up_reverted,75
My account has a weird withdrawal.,cash_withdrawal_not_recognised,46
I have lost my phone.,lost_or_stolen_phone,44
There is a payment showing as pending and hasn't posted for a few days.  When will it post?,pending_card_payment,55
Can I change from one currency to another?,exchange_via_app,21
Can I exchange an item for a refund?,request_refund,9
"Is there something wrong with your website? I tried topping up my account and it's been close to two hours now and it's still at ""pending"" for some reason. I just joined with you guys and this is the first attempt at this, so maybe I'm wrong, but shouldn't this be instant?",pending_top_up,71
Hello. Can you help figure out why the recent transfer from my UK bank account isn't showing up?,balance_not_updated_after_bank_transfer,3
I am perplexed. Why is it that I received an extremely wrong rate when I tried to use an ATM using a foreign currency?,wrong_exchange_rate_for_cash_withdrawal,30
My foreign currency exchange has been applied incorrectly.,card_payment_wrong_exchange_rate,41
How do I change my pin while traveling?,change_pin,15
"I need a new card to replace an expired one. Will it cost anything, and how soon?",card_about_to_expire,73
Can you tell me how transferring money into my account works?,transfer_into_account,52
What extra charges are there?,transfer_fee_charged,32
Where do I go to reset my passcode?,passcode_forgotten,7
"I attempted to complete a topup, and I thought all was well, but now the money is gone again. Has there been a glitch?",top_up_reverted,75
What are some reasons that would cause ATM machines to decline my card? It has happened to me multiple times!,declined_cash_withdrawal,2
How long will it take to get to the US?,card_delivery_estimate,12
"Cash withdrawal has been pending, why is it so?",pending_cash_withdrawal,1
I can use this card at which ATMs?,atm_support,64
Why do you need to know where my money is coming from?,verify_source_of_funds,60
I need more assistance with how to activate my card.,activate_my_card,74
Help me please!  My card was stolen!,lost_or_stolen_card,38
Why would my transfer result in a decline message?,declined_transfer,4
"I was charged extra when I made a cash withdraw, why?",cash_withdrawal_charge,70
Is there a discount for multiple currency exchanges?,exchange_charge,13
Why didn't I receive all the cash I requested?,wrong_amount_of_cash_received,45
Will I be charged a fee to top up using a debit or credit card?,top_up_by_card_charge,16
How do i set up my credit card to send transfers?,topping_up_by_card,59
How fast can I transfer something from China?,transfer_timing,19
Can I specify a day for my card to be delivered?,card_delivery_estimate,12
There's an unauthorized direct debit in my app.,direct_debit_payment_not_recognised,33
Why am I unable verify my id?,unable_to_verify_identity,76
Why was I charged multiple times for the same thing?,transaction_charged_twice,20
I don't think I should have been charged a fee to use my card.,card_payment_fee_charged,6
My card doesn't accept any transaction at all. What's wrong??,card_not_working,51
Why isn't my pending transfer finished?,pending_transfer,42
Can this convert money?,exchange_via_app,21
What do you base your exchange rates on?,exchange_rate,29
I did not have the right exchange rate applied to my situation of pulling out cash,wrong_exchange_rate_for_cash_withdrawal,30
How can I transfer money to this account from another bank?,transfer_into_account,52
I think that the exchange rate was wrong for the payment made last Saturday - I was charged extra.,card_payment_wrong_exchange_rate,41
What are your exchange rates calculated from?,exchange_rate,29
Your ATM pin can be changed at any VISA or MasterCard ATM with PIN services. Certain countries don't support ATM pin changes.,change_pin,15
for some reason I am having a problem with verifying my identity.,unable_to_verify_identity,76
Why am I seeing a transfer fee on my bank statement?,transfer_fee_charged,32
Why can I not do a transfer to a beneficiary?,beneficiary_not_allowed,63
Where do I go to activate my card?,activate_my_card,74
What do I need to do to exchange my money?,exchange_via_app,21
I am still waiting to find out the status of my refund. I have made previous attempts to find out what the status is to no avail. Will you please look into this for me?,Refund_not_showing_up,66
I lost my phone and need help so someone doesn't access my account.,lost_or_stolen_phone,44
There is a payment on my card that I do not recognize.,card_payment_not_recognised,25
why was a extra fee added to my account for transfer ?,transfer_fee_charged,32
can I choose delivery times to suite me?,card_delivery_estimate,12
How many digits identify the top-up verification code?,verify_top_up,14
"I prefer Visa, can I get that instead?",visa_or_mastercard,69
i need to proof my identity to you why and how?,why_verify_identity,43
How is this transfer supposed to work? It's not working for me.,failed_transfer,17
Is it possible to receive a Visa and a MasterCard?,visa_or_mastercard,69
when will I get my refund?,Refund_not_showing_up,66
How many top-ups can be approved?,top_up_limits,5
Is it really necessary to verify my Identity?,why_verify_identity,43
The exchange rates are?,exchange_rate,29
"I am blocked now because I entered the wrong pin, need help.",pin_blocked,27
How can the recipient see my money transaction?,transfer_not_received_by_recipient,0
I completed I transfer the day before yesterday in this country. The transfer still is not complete. I've checked on the account number multiple times to make sure that it is the right one. Can you check to see what's going on with this?,transfer_not_received_by_recipient,0
Do I have to pay for topping up by transfer?,top_up_by_bank_transfer_charge,56
What is the charge for paying with my card?,card_payment_fee_charged,6
What's the deal with no cryptocurrency on your app?,beneficiary_not_allowed,63
"Hi, can you tell me why my transfer keeps being rejected? I've been trying to send money to my friends this morning but failed every time and I have no idea why?",failed_transfer,17
"i know i entered the right info, but my top up isn't in my balance",topping_up_by_card,59
How old does my daughter have to be to open an account?,age_limit,72
Why didn't my transfer go through?,failed_transfer,17
Do I need to verify my top-up card?,verify_top_up,14
Is there any age limit?,age_limit,72
I need to transfer money to my account from another bank,transfer_into_account,52
"The day before yesterday, I performed a transfer within the country. It still has not completed. Can you check on that? The account number is definitely correct, as I've checked.",transfer_not_received_by_recipient,0
Why does my statement have an extra fee?,extra_charge_on_statement,62
Why is there more then one charge on my card I only paid for one not twice how can I fix this?,transaction_charged_twice,20
Why can't I see my funds after I topped up?,pending_top_up,71
My account shows that I made a cash withdrawal but I cannot remember doing so!,cash_withdrawal_not_recognised,46
"Hi, Today i have withdrawn cash from ATM but i got wrong amount and in the app it is showing much more amount than that.",wrong_amount_of_cash_received,45
Hello! I randomly got charged an extra fee today as i was shopping online and i have no idea why! Are there extra fees for card payments? Or am i missing something here?,card_payment_fee_charged,6
Can it be delivered on a certain date?,card_delivery_estimate,12
Where are the ATMs that accept this card?,atm_support,64
I can not find my phone or it has been stolen.,lost_or_stolen_phone,44
What do you need for the identity verification,verify_my_identity,11
How much am I allowed to top-up?,top_up_limits,5
"I no longer live at my address on file, how do I change it?",edit_personal_details,31
How long does a card delivery take?,card_arrival,36
My account shows the card payment cancelled.,reverted_card_payment?,28
Is there a reason I was charged a fee for using my card as payment? I've never had an extra fee before.,card_payment_fee_charged,6
Why am I getting double charged for multiple transactions?,transaction_charged_twice,20
Do I need to make a regular payment before a contactless one?,contactless_not_working,34
Are there restrictions for my disposable card since it does not seem to be working?,virtual_card_not_working,40
I heard you have virtual cards. How do I get one?,getting_virtual_card,10
"Hello, My money went through for my purchase but now I got contacted from the seller noting that they didn't receive it. Then the money was returned to my account and I'm not sure why this occurred. So if you can resolve this issue please.",reverted_card_payment?,28
I would like to reactivate a card and wondered if that could be done?,card_linking,50
I am trying to make a transfer to a different account but they keep getting declined. I have double checked all the details and the information is correct.,declined_transfer,4
My preference is Mastercard.,visa_or_mastercard,69
I tried to make a transfer but it failed,failed_transfer,17
"I see in the app some cash was withdrawn, but it's not mine.",cash_withdrawal_not_recognised,46
Can you please explain to me why there is an extra €1 fee in my statement?,extra_charge_on_statement,62
I have never been charged a card payment fee before. Why did this change?,card_payment_fee_charged,6
I just got refunded for my purchase over two weeks ago,reverted_card_payment?,28
I think my card payment had been return,reverted_card_payment?,28
What are the steps to get my card back that was kept by the ATM?,card_swallowed,57
I need mastercard as well as visa,visa_or_mastercard,69
What countries do you do business in?,country_support,48
Is there a top-up fee if you add money in USD?,top_up_by_card_charge,16
Where can money withdrawals be made?,atm_support,64
Can I use my account before my Identity verification has passed?,why_verify_identity,43
The money disappeared after I topped up my account.,topping_up_by_card,59
How long will a transfer from the US take?,transfer_timing,19
Why is top-up verified?,verify_top_up,14
My recipient hasn't received the money,transfer_not_received_by_recipient,0
Where do I find my PIN for my new card?,get_physical_card,47
What age do you have to be?,age_limit,72
Which currencies will you exchange?,fiat_currency_support,24
How do I close my account?,terminate_account,39
What ATMs is the card okay to use at?,atm_support,64
How can I cancel this transaction?,cancel_transfer,65
I was charged twice for the same thing.,transaction_charged_twice,20
Will I get a visa or Mastercard?,visa_or_mastercard,69
Help me find my card pin!,get_physical_card,47
can you share card tracking number?,card_arrival,36
I haven't used my card all day but there is a payment showing in the app. Please cancel it!,direct_debit_payment_not_recognised,33
"If I lost my phone, what steps do I need to take to stop someone from using my account?",lost_or_stolen_phone,44
I don't know where the top-up verification code is.,verify_top_up,14
Why am I charged a fee for getting cash?,cash_withdrawal_charge,70
I was just shopping online for some tickets and the payment was declined by you.  Why has this happened?  I am certain I have the right amount of funds in my account.,declined_card_payment,8
Can I create a disposable virtual card?,get_disposable_virtual_card,37
I was charged extra for a withdrawal,cash_withdrawal_charge,70
Payment did not process,beneficiary_not_allowed,63
Help!  My wallet was stolen and someone is taking money out.  I need this money!  What can I do?,cash_withdrawal_not_recognised,46
I deposited money but my balance hasn't been updated yet.,balance_not_updated_after_cheque_or_cash_deposit,53
How can I put more money into my account?,top_up_by_cash_or_cheque,23
I purchased an item and the exchange rate was wrong,card_payment_wrong_exchange_rate,41
I was charged a fee for my transfer.,transfer_fee_charged,32
How long will it take to verify my account?,unable_to_verify_identity,76
What is the verification process for my card?,verify_top_up,14
Weird charges are appearing in my debit account.,direct_debit_payment_not_recognised,33
What is the max amount of disposable cards I'm allowed.,disposable_card_limits,22
Why is there an unknown card payment?,card_payment_not_recognised,25
"Is it possible to go ahead and log in, although I have not been confirmed yet?",why_verify_identity,43
I have been charged a fee that I didn't know about. Why have you charged me extra for card payments?,card_payment_fee_charged,6
Make me understand why I am charged an extra fee when I use the ATM.,cash_withdrawal_charge,70
At what cash machines can I change my PIN?,change_pin,15
why is there a service fee on my statement?,extra_charge_on_statement,62
I AM MISSING CASH FROM MY BANK ACCOUNT ACCORDING TO MY APP,cash_withdrawal_not_recognised,46
"I need to get a card, but I live in the US.",country_support,48
i have a pending top-up,pending_top_up,71
"went somewhere else, need to change details",edit_personal_details,31
Is auto top up a provided service?,automatic_top_up,58
How do I go about getting a virtual card?,getting_virtual_card,10
I have no more money in my account.  Is there a way to do a bank transfer to put money into my account?,transfer_into_account,52
Can you tell me why my top up didn't work?,top_up_failed,54
I couldn't get cash at the atm,declined_cash_withdrawal,2
I'm noticing a payment/purchase at a company that I don't recognise.,card_payment_not_recognised,25
"Hi, I was looking over my card receipts for the past week and I realize I had a charge put through two times for the same single restaurant visit. Can one of the charges be removed so that I can get the money back that was mistakenly taken from my account?",transaction_charged_twice,20
"My phone was stolen, what should I do?",lost_or_stolen_phone,44
I got some cash out of the ATM over the holiday and it seems that I've been grossly overcharged. I wouldn't have done that if I knew of these outrageous charges!,wrong_exchange_rate_for_cash_withdrawal,30
I just transferred some money. Why was I charged a fee?,transfer_fee_charged,32
Is there an additional cost to exchange currencies?,exchange_charge,13
Am I able to stop a transfer?,cancel_transfer,65
I would like some help getting a refund back from a seller. It still isn't showing up on my statement and I requested this a long time ago. I'm not sure why it's not returned yet. Can you assist me in getting this money back?,Refund_not_showing_up,66
I just did a money transaction but its not showing they received it,transfer_not_received_by_recipient,0
Can I get an account for my daughter?,age_limit,72
My refund is not here yet,Refund_not_showing_up,66
Will there be any extra fees for European bank card for top up?,top_up_by_card_charge,16
Why hasn't my withdrawal shown on my statement?,pending_cash_withdrawal,1
When did you start charging to make a withdrawal? How much is it now? I always thought it was free.,cash_withdrawal_charge,70
How can I top up my account and which currency can I use?,supported_cards_and_currencies,26
I want to top up by cheque,top_up_by_cash_or_cheque,23
I've tried several times to make a payment and every time my card is declined? Could my card be locked? I don't know what to do.,declined_card_payment,8
Do you have to order a new card before your current card expires?,card_about_to_expire,73
Can I revive a physical card.,order_physical_card,35
My account balance has not updated to reflect my recent transfer.,balance_not_updated_after_bank_transfer,3
When do I get my card PIN?,get_physical_card,47
Are both Visa and Mastercard offered?,visa_or_mastercard,69
Card activation is not working. What do i do?,activate_my_card,74
I purchased an item and the exchange rate I was given was incorrect.,card_payment_wrong_exchange_rate,41
Is there a limit on top-ups?,top_up_limits,5
With my credit card i would like to transfer money.,topping_up_by_card,59
My attempted transfer keeps kicking back with an error message.  Could you please help me to resolve this?,beneficiary_not_allowed,63
I made a cash deposit to my account but i don't see it,balance_not_updated_after_cheque_or_cash_deposit,53
"I need to exchange between different currencies, like GBP and USD. Can I do that with your app?",exchange_via_app,21
How do I top up using my card?,topping_up_by_card,59
I don't understand the money transfer process.,transfer_into_account,52
Does topping up my card have a fee?,top_up_by_card_charge,16
How are currencies exchanged?,exchange_via_app,21
Why do I have a transaction showing multiple times?,transaction_charged_twice,20
I did not get as much cash as I requested at the ATM.,wrong_amount_of_cash_received,45
Can you see my new balance yet?,balance_not_updated_after_bank_transfer,3
"Although I transferred some money, it has not as of yet, arrived.",balance_not_updated_after_bank_transfer,3
What do you use to figure out the exchange rate for the card?,exchange_rate,29
I don't know where this debit transaction on my statement came from.,direct_debit_payment_not_recognised,33
I don't think I was supposed to be charged so much.,transfer_fee_charged,32
What are the top up fees for using an European bank card?,top_up_by_card_charge,16
I think I lost my card . I dont know how long it has been missing. Can you see if maybe someone else has been using it?,lost_or_stolen_card,38
Where is the card PIN?,get_physical_card,47
Are contactless payments enabled on my new card?,contactless_not_working,34
What is needed for my daughter to open an account?,age_limit,72
I was charged a fee when buying stuff with my card.,card_payment_fee_charged,6
What countries are you available in?,country_support,48
I sent a transfer to a friend that needs it urgently. It has already been 2 hours and still hasn't come through to her. How long does it normally take?,transfer_not_received_by_recipient,0
How do I activate my card that just arrived?,activate_my_card,74
"Can anyone help me, I lost my wallet and they've started withdrawing from my account.",cash_withdrawal_not_recognised,46
"When I tried to transfer funds to my friend today I was unable to do so, why?",failed_transfer,17
Help me cancel a transaction.,cancel_transfer,65
Can I get a card in person?,order_physical_card,35
